Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?,Salary Difference,Percent of Life Worked
1,27,Male,Arts,3.18,8,Entrepreneur,90624,No,688,185,Loan,Finance Manager,156165,International,Entrepreneurship,On-Campus,Yes,65541,0.296296296
2,24,Male,Arts,3.03,4,Analyst,53576,Yes,791,405,Loan,Startup Founder,165612,International,Career Growth,Online,No,112036,0.166666667
3,33,Female,Business,3.66,9,Engineer,79796,No,430,107,Scholarship,Consultant,122248,Domestic,Skill Enhancement,Online,No,42452,0.272727273
4,31,Male,Engineering,2.46,1,Manager,105956,No,356,257,Loan,Consultant,123797,International,Entrepreneurship,On-Campus,No,17841,0.032258065
5,28,Female,Business,2.75,9,Entrepreneur,96132,No,472,338,Loan,Consultant,197509,Domestic,Skill Enhancement,Online,Yes,101377,0.321428571
6,33,Male,Business,3.58,3,Manager,101925,No,409,280,Scholarship,Marketing Director,99591,International,Networking,On-Campus,No,-2334,0.090909091
7,25,Female,Arts,3.06,5,Consultant,81962,No,369,158,Self-funded,Executive,119223,International,Networking,Online,No,37261,0.2
8,27,Male,Engineering,2.8,6,Engineer,100072,Yes,588,190,Loan,Finance Manager,199447,International,Entrepreneurship,On-Campus,Yes,99375,0.222222222
9,30,Female,Arts,2.06,6,Entrepreneur,118689,Yes,521,455,Scholarship,Executive,76037,Domestic,Career Growth,On-Campus,Yes,-42652,0.2
10,23,Female,Arts,3.51,3,Entrepreneur,112387,No,671,411,Scholarship,Startup Founder,92294,International,Entrepreneurship,Online,Yes,-20093,0.130434783
11,27,Male,Arts,3.94,9,Analyst,39156,No,652,436,Employer,Executive,119126,Domestic,Networking,On-Campus,No,79970,0.333333333
12,31,Other,Arts,3.24,9,Manager,72597,No,749,283,Loan,Finance Manager,69698,International,Entrepreneurship,On-Campus,Yes,-2899,0.290322581
13,31,Male,Economics,3.71,4,Entrepreneur,81938,No,482,323,Employer,Consultant,159371,Domestic,Entrepreneurship,On-Campus,No,77433,0.129032258
14,28,Female,Science,3.03,3,Manager,114728,No,440,117,Employer,Consultant,97889,Domestic,Entrepreneurship,Online,Yes,-16839,0.107142857
15,25,Female,Engineering,2.46,9,Consultant,84941,No,676,208,Employer,Marketing Director,190224,Domestic,Skill Enhancement,Online,Yes,105283,0.36
16,24,Male,Economics,2.03,5,Analyst,62979,No,748,4,Self-funded,Marketing Director,173363,Domestic,Networking,On-Campus,Yes,110384,0.208333333
17,28,Male,Science,3.31,6,Consultant,110931,No,466,429,Employer,Marketing Director,193921,Domestic,Networking,Online,Yes,82990,0.214285714
18,28,Male,Science,2.99,1,Analyst,90655,Yes,601,185,Loan,Finance Manager,180546,Domestic,Career Growth,On-Campus,No,89891,0.035714286
19,23,Male,Science,3.56,9,Analyst,53915,Yes,538,384,Scholarship,Marketing Director,82471,Domestic,Skill Enhancement,Online,Yes,28556,0.391304348
20,26,Male,Economics,3.39,2,Manager,87774,No,298,385,Scholarship,Marketing Director,147362,International,Career Growth,Online,Yes,59588,0.076923077
21,25,Male,Engineering,3.98,7,Analyst,33258,Yes,428,225,Scholarship,Executive,72714,Domestic,Career Growth,Online,Yes,39456,0.28
22,22,Male,Business,3.02,6,Consultant,112179,No,785,44,Scholarship,Executive,166538,Domestic,Skill Enhancement,Online,Yes,54359,0.272727273
23,28,Female,Science,2.85,0,Consultant,64522,No,526,109,Scholarship,Executive,137619,International,Skill Enhancement,Online,No,73097,0
24,32,Male,Business,2.57,3,Consultant,73357,No,659,346,Scholarship,Marketing Director,65370,Domestic,Career Growth,On-Campus,No,-7987,0.09375
25,34,Male,Business,2.95,4,Manager,92146,Yes,396,359,Employer,Marketing Director,104662,International,Skill Enhancement,Online,No,12516,0.117647059
