Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?,Salary Difference,Percent of Life Worked
1,25,Male,Arts,3.1,9,Entrepreneur,81512.3,No,707,202,Loan,Finance Manager,183278.1,International,Entrepreneurship,On-Campus,Yes,101765.8,0.36
2,27,Male,Arts,2.93,3,Analyst,42721.98,Yes,784,466,Loan,Startup Founder,165157.98,International,Career Growth,Online,No,122436.0,0.111111
3,35,Female,Business,3.42,8,Engineer,64888.48,No,469,105,Scholarship,Consultant,103633.64,Domestic,Skill Enhancement,Online,No,38745.159999999996,0.228571
4,31,Male,Engineering,2.51,1,Manager,89038.6,No,335,235,Loan,Consultant,138444.77,International,Entrepreneurship,On-Campus,No,49406.169999999984,0.032258
5,25,Female,Business,2.74,8,Entrepreneur,81887.8,No,480,313,Loan,Consultant,189478.1,Domestic,Skill Enhancement,Online,Yes,107590.3,0.32
6,29,Male,Business,3.84,3,Manager,88790.02,No,425,302,Scholarship,Marketing Director,104303.02,International,Networking,On-Campus,No,15513.0,0.103448
7,22,Female,Arts,2.77,6,Consultant,71940.51,No,393,162,Self-funded,Executive,95811.49,International,Networking,Online,No,23870.98000000001,0.272727
8,29,Male,Engineering,2.88,4,Engineer,97856.22,Yes,577,188,Loan,Finance Manager,212569.02,International,Entrepreneurship,On-Campus,Yes,114712.79999999999,0.137931
9,30,Female,Arts,2.17,6,Entrepreneur,119257.12,Yes,540,400,Scholarship,Executive,71229.58,Domestic,Career Growth,On-Campus,Yes,-48027.53999999999,0.2
10,24,Female,Arts,3.69,2,Entrepreneur,101647.25,No,644,472,Scholarship,Startup Founder,84642.35,International,Entrepreneurship,Online,Yes,-17004.899999999994,0.083333
11,23,Male,Arts,4.0,8,Analyst,47130.05,No,643,485,Employer,Executive,147711.21,Domestic,Networking,On-Campus,No,100581.15999999999,0.347826
12,35,Other,Arts,3.39,6,Manager,74525.89,No,800,242,Loan,Finance Manager,67343.28,International,Entrepreneurship,On-Campus,Yes,-7182.610000000001,0.171429
13,34,Male,Economics,4.0,3,Entrepreneur,93715.64,No,525,305,Employer,Consultant,173558.08,Domestic,Entrepreneurship,On-Campus,No,79842.43999999999,0.088235
14,25,Female,Science,2.93,2,Manager,139063.98,No,459,118,Employer,Consultant,104140.56,Domestic,Entrepreneurship,Online,Yes,-34923.42000000001,0.08
15,22,Female,Engineering,2.46,8,Consultant,70634.18,No,659,204,Employer,Marketing Director,152588.52,Domestic,Skill Enhancement,Online,Yes,81954.34,0.363636
16,22,Male,Economics,2.0,6,Analyst,60707.8,No,795,3,Self-funded,Marketing Director,194853.73,Domestic,Networking,On-Campus,Yes,134145.93,0.272727
17,26,Male,Science,2.98,6,Consultant,107226.48,No,421,466,Employer,Marketing Director,176774.43,Domestic,Networking,Online,Yes,69547.95,0.230769
18,28,Male,Science,2.83,1,Analyst,84058.59,Yes,553,152,Loan,Finance Manager,207532.17,Domestic,Career Growth,On-Campus,No,123473.58000000002,0.035714
19,22,Male,Science,3.28,9,Analyst,40676.33,Yes,555,379,Scholarship,Marketing Director,86909.62,Domestic,Skill Enhancement,Online,Yes,46233.28999999999,0.409091
20,24,Male,Economics,3.23,1,Manager,101641.07,No,285,348,Scholarship,Marketing Director,133885.12,International,Career Growth,Online,Yes,32244.04999999999,0.041667
21,25,Male,Engineering,3.72,6,Analyst,26798.62,Yes,466,187,Scholarship,Executive,67489.24,Domestic,Career Growth,Online,Yes,40690.62000000001,0.24
22,22,Male,Business,2.74,5,Consultant,139970.26,No,774,43,Scholarship,Executive,185815.39,Domestic,Skill Enhancement,Online,Yes,45845.130000000005,0.227273
23,26,Female,Science,3.08,0,Consultant,73327.91,No,518,94,Scholarship,Executive,141063.56,International,Skill Enhancement,Online,No,67735.65,0.0
24,30,Male,Business,2.32,3,Consultant,76291.65,No,682,312,Scholarship,Marketing Director,70872.55,Domestic,Career Growth,On-Campus,No,-5419.099999999991,0.1
25,33,Male,Business,3.09,4,Manager,76232.68,Yes,417,360,Employer,Marketing Director,86781.46,International,Skill Enhancement,Online,No,10548.780000000013,0.121212
26,28,Female,Arts,3.49,1,Manager,96316.64,No,706,231,Scholarship,Startup Founder,100518.34,Domestic,Entrepreneurship,Online,No,4201.699999999997,0.035714
27,22,Male,Business,2.25,2,Engineer,48023.67,No,295,4,Loan,Marketing Director,111074.82,International,Entrepreneurship,On-Campus,No,63051.15000000001,0.090909
28,32,Male,Arts,4.0,6,Entrepreneur,56707.79,No,647,380,Employer,Marketing Director,91019.42,International,Skill Enhancement,Online,Yes,34311.63,0.1875
29,25,Male,Engineering,4.0,7,Engineer,37591.61,No,702,413,Employer,Marketing Director,116789.79,Domestic,Entrepreneurship,On-Campus,No,79198.18,0.28
30,22,Female,Engineering,3.31,6,Engineer,35483.06,No,622,128,Self-funded,Executive,88289.7,Domestic,Career Growth,On-Campus,No,52806.64,0.272727
31,33,Female,Arts,2.4,7,Analyst,30957.01,No,800,328,Employer,Marketing Director,166493.16,Domestic,Skill Enhancement,Online,No,135536.15,0.212121
32,27,Male,Engineering,2.69,5,Analyst,137749.93,No,688,191,Self-funded,Executive,105912.12,International,Skill Enhancement,Online,Yes,-31837.809999999998,0.185185
33,22,Female,Science,2.74,9,Engineer,88002.5,Yes,758,264,Self-funded,Executive,211307.45,Domestic,Networking,On-Campus,No,123304.95000000001,0.409091
34,37,Female,Engineering,2.27,0,Entrepreneur,45609.26,No,652,11,Scholarship,Finance Manager,152057.55,International,Skill Enhancement,Online,Yes,106448.28999999998,0.0
35,36,Female,Arts,3.04,2,Engineer,113208.72,No,280,140,Self-funded,Marketing Director,193276.06,Domestic,Networking,On-Campus,Yes,80067.34,0.055556
36,31,Female,Science,2.04,0,Manager,59209.97,No,423,283,Scholarship,Executive,108137.73,Domestic,Networking,On-Campus,Yes,48927.759999999995,0.0
37,22,Female,Business,3.71,2,Consultant,130762.1,Yes,550,340,Employer,Executive,150437.92,Domestic,Entrepreneurship,On-Campus,Yes,19675.820000000007,0.090909
38,27,Male,Business,2.63,5,Engineer,118560.78,No,714,395,Loan,Executive,125321.0,International,Skill Enhancement,Online,Yes,6760.220000000001,0.185185
39,32,Male,Business,2.43,7,Analyst,30025.42,Yes,690,207,Loan,Marketing Director,152680.65,International,Skill Enhancement,On-Campus,Yes,122655.23,0.21875
40,29,Male,Arts,2.84,5,Entrepreneur,55382.44,No,427,219,Scholarship,Startup Founder,132760.27,Domestic,Entrepreneurship,Online,No,77377.82999999999,0.172414
41,28,Female,Business,4.0,4,Analyst,50469.02,No,691,83,Self-funded,Marketing Director,200329.52,International,Entrepreneurship,On-Campus,No,149860.5,0.142857
42,31,Female,Engineering,3.15,4,Manager,125698.77,No,609,566,Scholarship,Marketing Director,140870.05,International,Career Growth,On-Campus,No,15171.279999999984,0.129032
43,29,Female,Business,2.82,10,Analyst,110098.44,No,478,143,Scholarship,Startup Founder,55460.23,Domestic,Networking,On-Campus,Yes,-54638.21,0.344828
44,38,Other,Economics,3.59,6,Analyst,65448.78,Yes,511,156,Employer,Marketing Director,213550.46,Domestic,Entrepreneurship,On-Campus,Yes,148101.68,0.157895
45,31,Male,Economics,3.65,2,Entrepreneur,48870.17,Yes,761,70,Scholarship,Finance Manager,152268.96,International,Networking,On-Campus,No,103398.79,0.064516
46,24,Female,Business,3.87,9,Entrepreneur,99405.43,No,263,262,Loan,Finance Manager,80692.52,International,Skill Enhancement,Online,Yes,-18712.90999999999,0.375
47,30,Female,Business,2.28,2,Analyst,62036.32,No,415,437,Employer,Marketing Director,88221.28,Domestic,Networking,Online,Yes,26184.96,0.066667
48,27,Other,Economics,3.35,3,Analyst,38519.33,No,417,414,Employer,Finance Manager,129542.95,Domestic,Networking,Online,No,91023.62,0.111111
49,24,Other,Business,2.73,0,Engineer,138965.84,Yes,748,78,Self-funded,Executive,99212.69,International,Skill Enhancement,Online,No,-39753.149999999994,0.0
50,26,Female,Science,4.0,6,Manager,72994.02,No,484,439,Employer,Consultant,155212.69,International,Career Growth,Online,No,82218.67,0.230769
51,26,Male,Economics,2.72,1,Engineer,89205.6,Yes,482,118,Loan,Marketing Director,159327.43,Domestic,Entrepreneurship,Online,No,70121.82999999999,0.038462
52,27,Female,Arts,3.82,10,Entrepreneur,74391.92,Yes,478,143,Self-funded,Startup Founder,135208.39,International,Networking,On-Campus,Yes,60816.470000000016,0.37037
53,26,Male,Economics,4.0,1,Engineer,45713.49,No,387,249,Loan,Executive,85360.92,International,Career Growth,On-Campus,No,39647.43,0.038462
54,30,Female,Engineering,2.25,4,Engineer,68990.57,No,446,322,Scholarship,Startup Founder,93862.75,Domestic,Entrepreneurship,Online,No,24872.179999999993,0.133333
55,25,Female,Science,3.97,0,Analyst,80826.73,Yes,584,172,Self-funded,Startup Founder,202965.18,International,Career Growth,Online,Yes,122138.45,0.0
56,32,Male,Arts,2.16,10,Analyst,40274.03,Yes,383,127,Employer,Consultant,146613.02,Domestic,Career Growth,Online,Yes,106338.98999999999,0.3125
57,23,Female,Business,2.41,3,Manager,78784.56,No,674,428,Employer,Finance Manager,67001.82,Domestic,Networking,Online,No,-11782.73999999999,0.130435
58,22,Male,Engineering,3.05,4,Consultant,57018.33,Yes,346,478,Loan,Startup Founder,56899.8,International,Career Growth,Online,Yes,-118.52999999999884,0.181818
59,22,Male,Engineering,4.0,11,Consultant,99119.97,Yes,632,225,Loan,Marketing Director,185455.06,International,Career Growth,Online,No,86335.09,0.5
60,27,Male,Science,2.87,8,Engineer,51027.22,No,692,540,Self-funded,Marketing Director,101369.73,International,Skill Enhancement,Online,Yes,50342.509999999995,0.296296
61,30,Female,Arts,2.95,7,Manager,63892.4,Yes,605,152,Loan,Executive,101577.4,International,Networking,Online,Yes,37684.99999999999,0.233333
62,31,Female,Engineering,3.08,6,Manager,60850.47,No,260,502,Scholarship,Executive,113940.03,Domestic,Networking,Online,No,53089.56,0.193548
63,24,Female,Arts,4.0,3,Entrepreneur,49706.56,No,359,164,Loan,Startup Founder,155015.01,Domestic,Entrepreneurship,On-Campus,Yes,105308.45000000001,0.125
64,28,Male,Arts,3.38,3,Analyst,50089.34,Yes,536,462,Employer,Consultant,149719.08,Domestic,Entrepreneurship,On-Campus,No,99629.73999999999,0.107143
65,27,Female,Engineering,2.28,7,Entrepreneur,116432.53,No,676,205,Scholarship,Finance Manager,106501.93,Domestic,Skill Enhancement,Online,Yes,-9930.600000000006,0.259259
66,30,Female,Arts,2.69,6,Consultant,119754.73,Yes,394,426,Self-funded,Consultant,104610.32,International,Networking,Online,No,-15144.409999999989,0.2
67,22,Male,Science,2.28,5,Manager,73013.73,Yes,401,295,Self-funded,Consultant,150163.79,International,Skill Enhancement,Online,Yes,77150.06000000001,0.227273
68,23,Male,Engineering,3.46,9,Consultant,38916.92,No,286,71,Scholarship,Executive,90907.47,Domestic,Networking,Online,No,51990.55,0.391304
69,22,Male,Science,2.36,2,Analyst,50764.33,No,260,71,Employer,Finance Manager,57557.2,International,Skill Enhancement,Online,No,6792.869999999995,0.090909
70,36,Female,Science,2.71,3,Analyst,62763.4,No,357,219,Self-funded,Startup Founder,89924.78,International,Skill Enhancement,Online,No,27161.379999999997,0.083333
71,34,Female,Arts,4.0,6,Analyst,56472.23,Yes,672,368,Self-funded,Consultant,148755.0,Domestic,Networking,On-Campus,Yes,92282.76999999999,0.176471
72,24,Female,Arts,2.81,6,Consultant,47461.37,No,660,109,Loan,Startup Founder,84272.32,International,Skill Enhancement,Online,Yes,36810.950000000004,0.25
73,27,Male,Engineering,3.21,5,Manager,101203.89,No,631,138,Employer,Executive,124647.34,Domestic,Entrepreneurship,On-Campus,Yes,23443.449999999997,0.185185
74,36,Female,Business,2.69,2,Entrepreneur,98524.65,No,307,418,Loan,Startup Founder,83645.93,International,Skill Enhancement,On-Campus,Yes,-14878.720000000001,0.055556
75,29,Male,Engineering,2.36,10,Manager,84829.3,No,789,112,Scholarship,Marketing Director,155890.75,International,Career Growth,Online,No,71061.45,0.344828
76,24,Male,Science,2.61,0,Manager,102858.61,No,482,160,Employer,Finance Manager,108605.34,Domestic,Career Growth,On-Campus,Yes,5746.729999999996,0.0
77,36,Female,Arts,2.65,3,Engineer,91761.07,No,318,28,Self-funded,Consultant,51501.21,International,Career Growth,Online,No,-40259.86000000001,0.083333
78,22,Male,Science,3.75,4,Manager,86343.95,No,645,196,Loan,Executive,110841.4,Domestic,Career Growth,Online,Yes,24497.449999999997,0.181818
79,22,Female,Economics,2.42,9,Entrepreneur,40050.36,No,590,247,Scholarship,Startup Founder,185919.47,Domestic,Networking,Online,No,145869.11,0.409091
80,22,Male,Economics,3.02,3,Engineer,104176.37,No,610,111,Employer,Executive,139385.7,International,Skill Enhancement,On-Campus,No,35209.330000000016,0.136364
81,31,Female,Science,3.63,0,Manager,70975.5,No,292,11,Self-funded,Marketing Director,202384.25,Domestic,Entrepreneurship,Online,No,131408.75,0.0
82,24,Male,Business,3.56,3,Engineer,101459.65,Yes,342,87,Loan,Executive,152438.5,International,Skill Enhancement,Online,Yes,50978.850000000006,0.125
83,22,Female,Business,3.71,0,Manager,48029.14,No,787,450,Scholarship,Finance Manager,177207.02,International,Networking,Online,Yes,129177.87999999999,0.0
84,29,Male,Engineering,3.91,3,Analyst,118676.37,No,652,399,Self-funded,Finance Manager,114782.51,International,Entrepreneurship,On-Campus,Yes,-3893.8600000000006,0.103448
85,24,Male,Engineering,3.25,4,Analyst,102608.43,Yes,619,218,Employer,Finance Manager,198052.57,International,Entrepreneurship,Online,Yes,95444.14000000001,0.166667
86,24,Female,Engineering,2.88,8,Manager,43657.13,Yes,633,46,Scholarship,Marketing Director,176241.92,Domestic,Career Growth,Online,Yes,132584.79,0.333333
87,32,Male,Arts,3.8,1,Engineer,79556.68,Yes,325,146,Self-funded,Finance Manager,126316.07,Domestic,Career Growth,Online,Yes,46759.390000000014,0.03125
88,24,Female,Business,2.97,1,Entrepreneur,34149.77,No,304,145,Scholarship,Marketing Director,96710.54,Domestic,Networking,Online,Yes,62560.77,0.041667
89,29,Other,Science,2.69,3,Analyst,57194.8,No,800,82,Loan,Consultant,150220.66,Domestic,Networking,Online,Yes,93025.86,0.103448
90,32,Male,Economics,2.47,6,Engineer,46405.24,Yes,418,503,Scholarship,Marketing Director,203129.38,Domestic,Entrepreneurship,Online,Yes,156724.14,0.1875
91,22,Male,Business,2.31,5,Entrepreneur,35132.89,Yes,651,269,Self-funded,Startup Founder,187775.93,Domestic,Entrepreneurship,On-Campus,Yes,152643.03999999998,0.227273
92,31,Female,Business,2.13,4,Engineer,65434.36,No,543,433,Self-funded,Finance Manager,76725.04,International,Skill Enhancement,On-Campus,Yes,11290.679999999993,0.129032
